Degvielas;Kravas;;Vieglais;;Autobuss;;Kopā;
veids;skaits;%;skaits;%;skaits;%;skaits;%
Benzīns;2 496;2,4%;222 269;28,0%;17;0,4%;224 782;24,9%
Dīzeļdegviela;98 647;96,0%;526 557;66,3%;3 956;95,1%;629 160;69,8%
Gāze;6;0,0%;6;0,0%;;;12;0,0%
Elektrība un benzīns;2;0,0%;2 096;0,3%;;;2 098;0,2%
Elektrība un dīzeļdegviela;1;0,0%;292;0,0%;;;293;0,0%
Elektrība;276;0,3%;8 372;1,1%;128;3,1%;8 776;1,0%
Benzīns un gāze;436;0,4%;13 213;1,7%;1;0,0%;13 650;1,5%
Dīzeļdegviela un gāze;4;0,0%;1;0,0%;;;5;0,0%
Benzīns un naftas gāze;601;0,6%;21 065;2,7%;;;21 666;2,4%
Benzīns un dabas gāze;21;0,0%;222;0,0%;;;243;0,0%
Dīzeļdegviela un naftas gāze;10;0,0%;10;0,0%;;;20;0,0%
Dīzeļdegviela un dabas gāze;8;0,0%;;;;;8;0,0%
Naftas gāze;32;0,0%;22;0,0%;;;54;0,0%
Dabas gāze;252;0,2%;160;0,0%;58;1,4%;470;0,1%
Dabas gāze un naftas gāze;18;0,0%;14;0,0%;;;32;0,0%
Cits;;;;;;;;
Kopā;102 810;100,0%;794 299;100,0%;4 160;100,0%;901 269;100,0%
